No.,Name,ID,Type
1,World-wide,91,Group Call
2,Europe,92,Group Call
3,North America,93,Group Call
4,Asia Middle East,94,Group Call
5,Australia New Ze,95,Group Call
6,Radio Test,98,Group Call
7,Diethnes Ellada,202,Group Call
8,Nederland,204,Group Call
9,Belgium,206,Group Call
10,France,208,Group Call
11,Andorra,213,Group Call
12,Spain,214,Group Call
13,Hungary,216,Group Call
14,Bosnia and Herze,218,Group Call
15,Croatia,219,Group Call
16,Serbia,220,Group Call
17,Italia,222,Group Call
18,Romania,226,Group Call
19,Switzerland,228,Group Call
20,Czech Republic,230,Group Call
21,Slovak,231,Group Call
22,Austria,232,Group Call
23,UK Call - QSY to,235,Group Call
24,Denmark,238,Group Call
25,Sweden,240,Group Call
26,Norway,242,Group Call
27,Finland,244,Group Call
28,Lithuania,246,Group Call
29,Latvia,247,Group Call
30,Estonia,248,Group Call
31,Ukraine,255,Group Call
32,Moldova,259,Group Call
33,Poland,260,Group Call
34,Deutschland,262,Group Call
35,MultiMode DL,263,Group Call
36,DL OPS,264,Group Call
37,265,265,Group Call
38,Portugal,268,Group Call
39,Luxembourg,270,Group Call
40,Ireland,272,Group Call
41,Iceland,274,Group Call
42,Albania,276,Group Call
43,Malta,278,Group Call
44,Cyprus,280,Group Call
45,Georgia,282,Group Call
46,Armenia,283,Group Call
47,Bulgaria,284,Group Call
48,Turkiye,286,Group Call
49,Faroe Islands,288,Group Call
50,San Marino,292,Group Call
51,Slovenia,293,Group Call
52,North Macedonia,294,Group Call
53,Liechtenstein,295,Group Call
54,Montenegro,297,Group Call
55,Canada Wide,302,Group Call
56,Tac 310 NOT A CA,310,Group Call
57,TAC 311 USA NO N,311,Group Call
58,TAC 312 USA NO N,312,Group Call
59,TAC 313 USA NO N,313,Group Call
60,TAC 314 USA NO N,314,Group Call
61,TAC 315 USA NO N,315,Group Call
62,TAC 316 USA NO N,316,Group Call
63,TAC 317 USA NO N,317,Group Call
64,TAC 318 USA NO N,318,Group Call
65,TAC 319 USA NO N,319,Group Call
66,Puerto Rico,330,Group Call
67,XE,334,Group Call
68,Jamaica,338,Group Call
69,Grenada,352,Group Call
70,Saint Lucia,358,Group Call
71,Curacao,362,Group Call
72,Bahamas,364,Group Call
73,Cuba,368,Group Call
74,Dominican Republ,370,Group Call
75,Haiti,372,Group Call
76,Trinidad Tobago,374,Group Call
77,Turks and Caicos,376,Group Call
78,Azerbaijan,400,Group Call
79,Kazahstan,401,Group Call
80,India,404,Group Call
81,Pakistan,410,Group Call
82,Lebanon,415,Group Call
83,Saudi Arabia,420,Group Call
84,Oman,422,Group Call
85,Israel,425,Group Call
86,Bahrein,426,Group Call
87,Qatar,427,Group Call
88,United Arab Emir,430,Group Call
89,Japan,440,Group Call
90,South Korea,450,Group Call
91,Vietnam,452,Group Call
92,Hong Kong,454,Group Call
93,China,460,Group Call
94,Bangladesh,470,Group Call
95,Malaysia Nationa,502,Group Call
96,Australia,505,Group Call
97,Indonesia,510,Group Call
98,Philippines,515,Group Call
99,Thailand,520,Group Call
100,Singapore,525,Group Call
101,ZL National,530,Group Call
102,Egypt,602,Group Call
103,Morocco,604,Group Call
104,South Africa,655,Group Call
105,Guatemala,704,Group Call
106,El Salvador,706,Group Call
107,Honduras,708,Group Call
108,Nicaragua,710,Group Call
109,Costa Rica,712,Group Call
110,Panama,714,Group Call
111,Peru,716,Group Call
112,Argentina,722,Group Call
113,Brazil Nacional,724,Group Call
114,Chile,730,Group Call
115,Republica de Col,732,Group Call
116,Venezuela,734,Group Call
117,Ecuador,740,Group Call
118,Uruguay,748,Group Call
119,WW Tac 1,901,Group Call
120,WW Tac 2,902,Group Call
121,WW Tac 3,903,Group Call
122,JOTA,907,Group Call
123,German,910,Group Call
124,English,913,Group Call
125,Spanish,914,Group Call
126,Portuguese,915,Group Call
127,Italian,916,Group Call
128,YOTA,918,Group Call
129,DL OE HB9,920,Group Call
130,Dutch,922,Group Call
131,European English,923,Group Call
132,Swedish,924,Group Call
133,Nordic,927,Group Call
